"Symbol";"Value";"Unit";
"REFERENCE";"1715815";"";
"TraceParts.PartVersion";"1.1.2";"";
"SUPPLIER";"Phoenix Contact";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_AAP798_001";"IEC 60947-7-4";"";
"TraceParts.PartNumber";"10-22122020-089375";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"ATT_0173_1_02_BAG640_011";"Print mounting";"";
"ATT_0173_1_02_BAF016_006";"45.72";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"PCB terminal block";"";
"TraceParts.InstanceId";"10-22122020-0893754GNNZOGADLQ41T4W0V3M7AVDR";"";
"ATT_0173_1_02_AAO663_003";"4017918341473";"";
"ATT_0173_1_02_AAF040_007";"0.01308";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"MKDS 1,5/ 9-5,08";"";
"ATT_0173_1_02_BAB577_008";"9.8";"";
"ATT_0173_1_02_AAB789_007";"1";"";
"ATT_0173_1_02_BAC677_007";"2.5";"";
"ATT_0173_1_02_BAA020_010";"17.3";"";
"ATT_0173_1_02_AAC820_006";"-40";"";
"ATT_0173_1_02_AAC821_006";"105";"";
