"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAN489_006";"Assembly";"";
"TraceParts.PartVersion";"1.2.0";"";
"SUPPLIER";"Phoenix Contact";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_BAA351_017";"black";"";
"TraceParts.PartTitle";"PTFIX 12X2,5 BK";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"TraceParts.PartNumber";"90-06102021-058181";"";
"ATT_0173_1_02_BAF016_006";"31.5";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"Distribution block";"";
"TraceParts.InstanceId";"90-06102021-0581812L7JWCA6S0DSSIZZLAM5L0V3M";"";
"ATT_0173_1_02_AAO663_003";"4055626392165";"";
"ATT_0173_1_02_AAF040_007";"0.02253";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC034_011";"Push-in connection";"";
"REFERENCE";"3273300";"";
"ATT_0173_1_02_BAA020_010";"28.6";"";
"ATT_0173_1_02_AAN483_003";"enveloping body cuboid";"";
"ATT_0173_1_02_BAB577_008";"21.7";"";
"ATT_0173_1_02_BAC487_015";"PA";"";
"ATT_0173_1_02_AAP403_002";"12";"";
