"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAB754_009";"Socket";"";
"REFERENCE";"1654837";"";
"ATT_0173_1_02_AAT080_002";"25";"";
"TraceParts.PartVersion";"1.2.1";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_AAP798_001";"UL Recognized";"";
"TraceParts.PartNumber";"10-04112020-087724";"";
"ATT_0173_1_02_BAF016_006";"13";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"D-SUB contact insert";"";
"TraceParts.InstanceId";"10-04112020-08772446L6N7LN6EQUPVP1EN1FW3PCL";"";
"ATT_0173_1_02_AAO663_003";"4017918989224";"";
"ATT_0173_1_02_BAG975_014";"IP20";"";
"TraceParts.PartTitle";"VS-25-BU-DSUB-LH-B";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAA020_010";"20.2";"";
"ATT_0173_1_02_BAB888_010";"Contact insert";"";
"ATT_0173_1_02_BAB577_008";"53.42";"";
