"Symbol";"Value";"Unit";
"REFERENCE";"1742046";"";
"ATT_0173_1_02_BAB392_017";"CSA, cULus Recognized, VDE Zeichengenehmigung, DNV GL";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_AAP798_001";"IEC 60947-7-4";"";
"TraceParts.PartNumber";"90-17062025-012714";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"ATT_0173_1_02_BAG640_011";"Print mounting";"";
"ATT_0173_1_02_BAF016_006";"65";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"PCB terminal block";"";
"TraceParts.InstanceId";"90-17062025-012714C94JTNN1096U2QFWJLAFVWSMZ";"";
"ATT_0173_1_02_AAO663_003";"4046356294959";"";
"ATT_0173_1_02_AAF040_007";"0.01808";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"MKDS 1,5/13";"";
"ATT_0173_1_02_BAB577_008";"9.8";"";
"ATT_0173_1_02_AAB789_007";"1";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAA020_010";"17.3";"";
"TraceParts.PartVersion";"1.0.0";"";
"ATT_0173_1_02_AAC820_006";"-40";"";
"ATT_0173_1_02_AAC821_006";"105";"";
