"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAN489_006";"Assembly";"";
"TraceParts.PartVersion";"1.2.0";"";
"SUPPLIER";"Phoenix Contact";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_BAA351_017";"gray";"";
"TraceParts.PartTitle";"PTFIX 12X2,5 GY";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"TraceParts.PartNumber";"90-04102021-060851";"";
"ATT_0173_1_02_BAF016_006";"31.5";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"Distribution block";"";
"TraceParts.InstanceId";"90-04102021-060851CAE6N4031HT6C088F2712YSW5";"";
"ATT_0173_1_02_AAO663_003";"4055626392097";"";
"ATT_0173_1_02_AAF040_007";"0.0228";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC034_011";"Push-in connection";"";
"REFERENCE";"3273286";"";
"ATT_0173_1_02_BAA020_010";"28.6";"";
"ATT_0173_1_02_AAN483_003";"enveloping body cuboid";"";
"ATT_0173_1_02_BAB577_008";"21.7";"";
"ATT_0173_1_02_BAC487_015";"PA";"";
"ATT_0173_1_02_AAP403_002";"12";"";
