"Symbol";"Value";"Unit";
"REFERENCE";"1786239";"";
"ATT_0173_1_02_BAB392_017";"CSA, cULus Recognized, VDE Zeichengenehmigung";"";
"ATT_0173_1_02_BAC740_007";"0.2";"";
"ATT_0173_1_02_AAP798_001";"IEC 61984";"";
"ATT_0173_1_02_BAC739_007";"0.2";"";
"ATT_0173_1_02_BAC677_007";"2.5";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"TraceParts.PartNumber";"10-23122020-039300";"";
"ATT_0173_1_02_BAF016_006";"42.14";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"PCB connector";"";
"TraceParts.InstanceId";"10-23122020-0393003GIA933YRX01YQGHFKQA65O1P";"";
"ATT_0173_1_02_AAO663_003";"4017918042387";"";
"ATT_0173_1_02_AAF040_007";"0.01307";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"TraceParts.PartTitle";"IC 2,5/ 8-ST-5,08";"";
"ATT_0173_1_02_BAB577_008";"19.2";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"TraceParts.PartVersion";"1.1.5";"";
"ATT_0173_1_02_BAC676_007";"2.5";"";
"ATT_0173_1_02_BAA020_010";"15";"";
