"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAB754_009";"Pin";"";
"REFERENCE";"1654824";"";
"ATT_0173_1_02_AAT080_002";"25";"";
"TraceParts.PartVersion";"1.1.0";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_AAS458_003";"Soldered connection";"";
"ATT_0173_1_02_AAP798_001";"UL Recognized";"";
"TraceParts.PartNumber";"90-15042022-035213";"";
"ATT_0173_1_02_BAF016_006";"53";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"D-SUB contact insert";"";
"TraceParts.InstanceId";"90-15042022-03521315KF8SWKDQNVHB75G667PMW42";"";
"ATT_0173_1_02_AAO663_003";"4017918989217";"";
"ATT_0173_1_02_BAG975_014";"IP20";"";
"TraceParts.PartTitle";"VS-25-ST-DSUB-LH-B";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAA020_010";"12.5";"";
"ATT_0173_1_02_BAB888_010";"Contact insert";"";
"ATT_0173_1_02_BAB577_008";"14";"";
