"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAB754_009";"Socket";"";
"REFERENCE";"1689776";"";
"ATT_0173_1_02_AAT080_002";"25";"";
"ATT_0173_1_02_BAB392_017";"CE-compliant";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_BAG975_014";"IP20";"";
"TraceParts.PartNumber";"90-20102021-034817";"";
"ATT_0173_1_02_BAF016_006";"45.9";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"D-SUB contact insert";"";
"TraceParts.InstanceId";"90-20102021-034817E9TRYP1HRZIFKE2JUIH87EG4L";"";
"ATT_0173_1_02_AAO663_003";"4017918914073";"";
"TraceParts.PartTitle";"VS-25-BU-DSUB/25-MPT-0,5";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAA020_010";"63";"";
"ATT_0173_1_02_BAB888_010";"Contact insert";"";
"TraceParts.PartVersion";"1.1.4";"";
"ATT_0173_1_02_BAB577_008";"13";"";
