"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAB754_009";"Pin";"";
"REFERENCE";"1654785";"";
"ATT_0173_1_02_AAT080_002";"9";"";
"TraceParts.PartVersion";"1.1.6";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_AAS458_003";"Soldered connection";"";
"ATT_0173_1_02_AAP798_001";"UL Recognized";"";
"TraceParts.PartNumber";"10-18112020-098400";"";
"ATT_0173_1_02_BAF016_006";"20";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"D-SUB contact insert";"";
"TraceParts.InstanceId";"10-18112020-098400EZ44BT3E8LYAN6APPZM761C6L";"";
"ATT_0173_1_02_AAO663_003";"4017918989170";"";
"ATT_0173_1_02_BAG975_014";"IP20";"";
"TraceParts.PartTitle";"VS-09-ST-DSUB-LH-B";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAA020_010";"13";"";
"ATT_0173_1_02_BAB888_010";"Contact insert";"";
"ATT_0173_1_02_BAB577_008";"31.19";"";
