"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAB754_009";"Socket";"";
"REFERENCE";"1654798";"";
"ATT_0173_1_02_AAT080_002";"9";"";
"TraceParts.PartVersion";"1.1.3";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_AAP798_001";"UL Recognized";"";
"TraceParts.PartNumber";"90-15042022-035244";"";
"ATT_0173_1_02_BAF016_006";"20.2";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"D-SUB contact insert";"";
"TraceParts.InstanceId";"90-15042022-0352441AXKIES63ANZMET4AP75SQJQD";"";
"ATT_0173_1_02_AAO663_003";"4017918989187";"";
"ATT_0173_1_02_BAG975_014";"IP20";"";
"TraceParts.PartTitle";"VS-09-BU-DSUB-LH-B";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAA020_010";"12.93";"";
"ATT_0173_1_02_BAB888_010";"Contact insert";"";
"ATT_0173_1_02_BAB577_008";"31.19";"";
