"Symbol";"Value";"Unit";
"REFERENCE";"1689747";"";
"ATT_0173_1_02_BAB392_017";"EAC";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_AAP798_001";"not available";"";
"ATT_0173_1_02_AAS461_002";"Shell size 3";"";
"TraceParts.PartTitle";"VS-25-A-GC-ST/ST";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"TraceParts.PartNumber";"90-20102021-050164";"";
"ATT_0173_1_02_BAF016_006";"24";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"Panel-mount frame";"";
"TraceParts.InstanceId";"90-20102021-050164BRBP78VUWL46LTLUFMZ9AUDPN";"";
"ATT_0173_1_02_AAO663_003";"4017918915452";"";
"ATT_0173_1_02_AAF040_007";"0.02639";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_AAC049_007";"False";"";
"ATT_0173_1_02_AAS473_004";"Plastic";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAA020_010";"27.9";"";
"TraceParts.PartVersion";"1.1.1";"";
"ATT_0173_1_02_BAB577_008";"76";"";
"ATT_0173_1_02_AAS472_002";"swiveling";"";
