"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAN489_006";"Assembly";"";
"TraceParts.PartVersion";"1.2.9";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_BAA351_017";"red";"";
"TraceParts.PartTitle";"PTFIX 6X2,5 RD";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"TraceParts.PartNumber";"90-05102021-059639";"";
"ATT_0173_1_02_BAF016_006";"16";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"Distribution block";"";
"TraceParts.InstanceId";"90-05102021-059639AL9QDL69X6EOW043FN3H3MD7G";"";
"ATT_0173_1_02_AAO663_003";"4055626391991";"";
"ATT_0173_1_02_AAF040_007";"0.01169";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC034_011";"Push-in connection";"";
"REFERENCE";"3273268";"";
"ATT_0173_1_02_BAA020_010";"28.6";"";
"ATT_0173_1_02_AAN483_003";"enveloping body cuboid";"";
"ATT_0173_1_02_BAB577_008";"21.7";"";
"ATT_0173_1_02_BAC487_015";"PA";"";
"ATT_0173_1_02_AAP403_002";"6";"";
