"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAN489_006";"Assembly";"";
"TraceParts.PartVersion";"1.0.10";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_BAB664_017";"PA";"";
"ATT_0173_1_02_BAA351_017";"white";"";
"ATT_0173_1_02_AAC900_006";"6.2";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"REFERENCE";"1051003";"";
"ATT_0173_1_02_BAF016_006";"6.15";"";
"ATT_0173_1_02_BAC140_009";"V2";"";
"DESIGN";"Zack marker strip";"";
"TraceParts.InstanceId";"90-20102021-0299695303MJHC8KYNEL6L8LQRK2U67";"";
"ATT_0173_1_02_AAO663_003";"4017918015824";"";
"ATT_0173_1_02_AAF040_007";"0.00155";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"ZB 6:UNBEDRUCKT";"";
"TraceParts.PartNumber";"90-20102021-029969";"";
"ATT_0173_1_02_BAD656_008";"True";"";
"ATT_0173_1_02_BAA020_010";"10.5";"";
"ATT_0173_1_02_AAN483_003";"enveloping body cuboid";"";
"ATT_0173_1_02_BAB577_008";"4.2";"";
