"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAB754_009";"Pin";"";
"REFERENCE";"1689789";"";
"ATT_0173_1_02_AAT080_002";"25";"";
"ATT_0173_1_02_BAB392_017";"CE-compliant";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_BAG975_014";"IP20";"";
"TraceParts.PartNumber";"90-19102021-065543";"";
"ATT_0173_1_02_BAF016_006";"12.6";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"D-SUB contact insert";"";
"TraceParts.InstanceId";"90-19102021-06554384Y5B7CHELNP93F8LWGSWDQB4";"";
"ATT_0173_1_02_AAO663_003";"4017918914080";"";
"TraceParts.PartTitle";"VS-25-ST-DSUB/25-MPT-0,5";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAA020_010";"63";"";
"ATT_0173_1_02_BAB888_010";"Contact insert";"";
"TraceParts.PartVersion";"1.0.9";"";
"ATT_0173_1_02_BAB577_008";"53.5";"";
